англ,иностранный язык
экономика,экономическая теория
право,правоведение
русский язык,русский язык и культура речи
бжд,безопасность жизнедеятельности
матан-1,математический анализ-1
матан-2,математический анализ-2
матан-3,математический анализ-3
матан-4,математический анализ-4
действан,действительный анализ
функан-1,функциональный анализ-1
функан-2,функциональный анализ-2
линал,линейная алгебра и геометрия
ангем,аналитическая геометрия
топка,введение в топологию
дифгем,классическая дифференциальная геометрия
нгт,начертательная геометрия и топология
диффуры,дифференциальные уравнения
урчп,уравнения в частных производных
теорвер,теория вероятностей
слупы,теория случайных процессов
теормех,теоретическая механика
мсс,основы механики сплошных сред
дискра,дискретная математика
вариационка,вариационное исчисление и оптимальное управление
чм,численные методы
эвм,работа на эвм и программирование
тфкп,теория функций комплексного переменного
дифтоп,дифференциальная геометрия и топология
матстат,математическая статистика
тч-1,теория чисел
тч-8,элементы теории чисел
тдф,теория дискретных функций
компгем,практикум по компьютерной геометрии
матан,математический анализ